idVariavelAleatoria;idVariavelAleatoriaInterna;AttMatriz;Iteradores;02/2019;03/2019;04/2019;05/2019;06/2019;07/2019;08/2019;09/2019;10/2019;11/2019;12/2019
84;1;tendencia_temporal;1;83;108;65;71;50;55;39;40;36;43;56
85;1;tendencia_temporal;1;12;20;11;8;6;6;4;4;4;6;11
86;1;tendencia_temporal;1;117;210;110;85;61;62;43;45;42;57;130
87;1;tendencia_temporal;1;10;11;7;10;8;10;4;3;3;4;4
88;1;tendencia_temporal;1;65;110;66;59;29;20;18;17;25;31;82
89;1;tendencia_temporal;1;26;34;25;19;16;13;11;11;12;20;39
90;1;tendencia_temporal;1;28;32;18;15;13;10;7;7;12;19;48
91;1;tendencia_temporal;1;125;157;120;95;68;50;49;51;51;72;222
92;1;tendencia_temporal;1;56;79;42;41;22;26;22;23;25;35;55
93;1;tendencia_temporal;1;0;0;0;0;0;0;0;0;0;0;0
94;1;tendencia_temporal;1;0;0;0;0;0;0;0;0;0;0;0
95;1;tendencia_temporal;1;91;107;77;55;37;29;26;20;23;68;182
96;1;tendencia_temporal;1;2;2;2;2;1;1;1;1;1;1;5
97;1;tendencia_temporal;1;84;111;104;84;56;46;41;38;31;67;135
98;1;tendencia_temporal;1;66;64;49;43;29;25;21;20;27;35;121
99;1;tendencia_temporal;1;109;99;78;67;44;36;35;33;42;64;195
100;1;tendencia_temporal;1;56;49;39;34;22;18;17;17;21;35;100
101;1;tendencia_temporal;1;102;57;48;20;10;6;5;4;3;32;143
102;1;tendencia_temporal;1;144;155;144;134;119;115;106;95;96;104;152
103;1;tendencia_temporal;1;32;60;63;36;18;21;30;16;12;-4;87
104;1;tendencia_temporal;1;76;89;60;42;33;31;32;25;32;51;113
105;1;tendencia_temporal;1;479;827;395;306;181;132;93;49;49;178;610
106;1;tendencia_temporal;1;26;47;60;41;28;24;19;16;13;12;21
107;1;tendencia_temporal;1;849;1200;1415;839;528;392;343;291;223;254;1028
108;1;tendencia_temporal;1;0;0;0;0;0;0;0;0;0;0;0
