idVariavelAleatoria;AttMatriz;Iteradores;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
1;residuo_espaco_amostral;08/01/2021;336.0245314;288.3141756;163.8133805;234.6553874;163.8912505;63.63529865;262.8816261;479.9398182;178.6178352;276.107958;338.7612025;387.9713676;148.9894087;186.9553202;159.1410504;389.6854871;279.7901914;260.7555881;261.9824615;339.9229768
1;residuo_espaco_amostral;09/01/2021;-518.2890307;-410.3440066;-481.352075;-269.7355117;-124.5905066;-599.8903934;-260.7363498;-263.4123192;-422.0715183;-286.0551167;-249.6996621;-77.97798135;-670.3312362;-573.6119169;-296.1773163;-377.322606;-207.9795784;-491.6218691;-649.4506466;-495.7456341
1;residuo_espaco_amostral;10/01/2021;960.7776607;-215.9881908;196.9488764;704.413715;69.78230851;100.1758842;224.028092;612.3236954;-94.47262731;-110.3329071;417.1275068;512.7278979;973.7516836;122.948991;861.293473;237.2103166;402.6961365;-118.171061;-80.82257992;-36.76086708
1;residuo_espaco_amostral;11/01/2021;189.4097879;822.1326153;868.9170002;317.8619919;627.8144936;385.7061146;-298.9277801;355.8332281;642.7548477;262.8598786;318.028914;729.6790276;290.4375732;469.2680335;60.70796525;1727.760188;115.1684242;500.0416178;828.2658898;122.5243955
1;residuo_espaco_amostral;12/01/2021;-387.6091088;1446.958684;740.7824456;1479.937811;811.2161379;627.3898637;833.0938774;1006.947457;453.9762388;2364.828566;16.82166714;646.1768316;871.4364586;287.2122011;779.1073326;163.2574846;1527.512584;1763.348934;348.6908731;1273.180754
1;residuo_espaco_amostral;01/01/2022;2822.585364;1444.214153;370.583661;1154.324903;1098.733874;686.1756746;636.8603121;1537.176543;615.4372768;442.6349635;-429.0323173;533.8793371;440.9609413;878.2479981;1202.120177;1708.707832;806.3552067;-145.9747673;1581.618415;992.2637928
1;residuo_espaco_amostral;02/01/2022;1375.81833;1741.316279;1885.570715;2900.474858;910.4111292;1381.185056;2855.327163;2505.106398;-323.540694;700.7081352;2968.503235;2779.296398;885.1754627;2895.414262;1535.93201;2376.498087;3960.522293;1580.110881;677.5344252;537.9392554
1;residuo_espaco_amostral;03/01/2022;1110.65827;1654.400814;1303.268166;1448.611095;1200.189462;3783.522639;1533.62555;2027.786615;4485.433395;838.5831475;2892.929796;980.258129;794.022989;2236.144376;1264.5645;627.819156;2058.630988;2669.417753;1078.641792;2473.448601
1;residuo_espaco_amostral;04/01/2022;2155.243554;265.8920315;634.5789771;387.6492669;1104.804791;1085.119766;376.3018295;1240.70993;463.5904861;527.2893865;765.6553832;643.3883091;1098.274568;1232.542098;693.6744048;1260.623969;781.3416117;147.9729488;2343.294663;600.7590327
1;residuo_espaco_amostral;05/01/2022;642.2146907;655.0542865;290.4302738;999.220446;429.2550971;404.8445236;596.2554496;697.7561981;781.5339082;708.5494931;495.6111964;309.1803556;357.9630354;1266.831121;429.387802;659.9321743;649.8907151;930.7410593;358.9733058;114.576778
